t,q1,q2,q3,q4,q5,q6
0.6,-0.900251300643025,-1.59738125382669,2.72276604046217,-2.7098887114556,-1.57079632387546,0.711667783392765
0.61,-0.895171869223315,-1.58040481291546,2.72037765431861,-2.7214451557778,-1.57079632407079,0.707652383326431
0.62,-0.890676883332423,-1.5647459766121,2.71843104833961,-2.73247459642121,-1.57079632426045,0.704099000093199
0.63,-0.886829230586464,-1.55049145344891,2.7169922004896,-2.7429938366914,-1.5707963244437,0.701057347696488
0.64,-0.883666743776071,-1.53768170515241,2.71610472133385,-2.75302860556645,-1.57079632462004,0.698557333761438
0.65,-0.881199194287286,-1.52630570323983,2.71578706740537,-2.76261422001922,-1.57079632478931,0.696606682769586
0.66,-0.879405285522459,-1.51629568561563,2.71602975457179,-2.77179624733967,-1.57079632495165,0.695188559293536
0.67,-0.878229646321152,-1.50752191316803,2.71679257140231,-2.78063116745714,-1.5707963251076,0.694259191231626
0.68,-0.877579824381031,-1.4997874263655,2.7180017925346,-2.78918703526267,-1.57079632525807,0.693745493042602
0.69,-0.877323279678767,-1.49282280185329,2.7195473920417,-2.79754414293128,-1.57079632540442,0.693542688980285
0.7,-0.877284377890937,-1.48628090904994,2.72128025679894,-2.80579568224426,-1.57079632554849,0.69351193632824
0.71,-0.877284377891851,-1.47981264869116,2.72304538066272,-2.81402906638284,-1.57079632569321,0.693511936385205
0.72,-0.877284377874834,-1.47333785230328,2.72480229660506,-2.8222607786246,-1.57079632584385,0.693511936470467
0.73,-0.877284377824569,-1.46685723832161,2.72654237405149,-2.83048146995606,-1.57079632600522,0.693511936608096
0.74,-0.877284377728446,-1.46037881494352,2.72825659981796,-2.83867411899271,-1.57079632618095,0.693511936817795
0.75,-0.877284377576391,-1.45391719350947,2.72993566442376,-2.84681480491105,-1.5707963263736,0.693511937115167
0.76,-0.877284377360712,-1.44749290188403,2.73157004840454,-2.8548734803804,-1.57079632658474,0.693511937511984
0.77,-0.877284377075929,-1.44113169783688,2.7331501086253,-2.86281474449492,-1.57079632681502,0.693511938016456
0.78,-0.87728437671861,-1.43486388242382,2.73466616459334,-2.87059861570551,-1.57079632706424,0.693511938633497
0.79,-0.877284376287211,-1.42872361336781,2.73610858477133,-2.87818130475173,-1.57079632733146,0.693511939364992
0.8,-0.877284375781912,-1.42274821843994,2.73746787289021,-2.88551598759376,-1.57079632761507,0.693511940210069
0.81,-0.877284375204452,-1.41697750884049,2.73873475426223,-2.89255357834429,-1.57079632791284,0.693511941165363
0.82,-0.877284374557965,-1.41145309257991,2.73990026209394,-2.89924350220049,-1.57079632822204,0.693511942225288
0.83,-0.877284373846817,-1.40621768785983,2.74095582379917,-2.90553446837594,-1.57079632853951,0.693511943382301
0.84,-0.877284373076444,-1.40131443645412,2.74189334731201,-2.91137524303251,-1.57079632886173,0.693511944627171
0.85,-0.877284372253188,-1.39678621708984,2.74270530739981,-2.91671542221238,-1.57079632918489,0.69351194594925
0.86,-0.877284371384131,-1.3926749588283,2.74338483197616,-2.92150620476987,-1.57079632950502,0.693511947336737
0.87,-0.877284370476934,-1.38902095444605,2.74392578841391,-2.92570116530345,-1.57079632981801,0.69351194877695
0.88,-0.877284369539673,-1.38586217381588,2.74432286985812,-2.92925702708764,-1.57079633011971,0.693511950256588
0.89,-0.877284368580674,-1.3832335772879,2.74457168153907,-2.93213443500495,-1.57079633040605,0.693511951762007
0.9,-0.877284367608352,-1.38116642907046,2.74466882708525,-2.93429872847778,-1.57079633067306,0.69351195327948
0.91,-0.877284366631045,-1.37968761061123,2.74461199483635,-2.9357207144004,-1.57079633091698,0.693511954795472
0.92,-0.877284365656853,-1.37881893397819,2.74440004415623,-2.93637744007086,-1.57079633113435,0.693511956296902
0.93,-0.877284364693471,-1.37857645524063,2.74403309174593,-2.93625296612289,-1.57079633132207,0.693511957771417
0.94,-0.877284363748029,-1.37896978785021,2.74351259795667,-2.9353391394579,-1.57079633147749,0.693511959207654
0.95,-0.877284362826927,-1.38000141602191,2.7428414531028,-2.93363636617684,-1.57079633159849,0.693511960595512
0.96,-0.877284361935669,-1.38166600811508,2.74202406377485,-2.93115438451218,-1.57079633168355,0.693511961926419
0.97,-0.877284361078705,-1.38394973001447,2.74106643915243,-2.92791303775981,-1.57079633173186,0.6935119631936
0.98,-0.877284360259263,-1.38682955851119,2.73997627731733,-2.923943047211,-1.57079633174337,0.693511964392343
0.99,-0.877284359479185,-1.39027259468377,2.73876305156641,-2.91928678508432,-1.57079633171886,0.693511965520271
1,-0.87728435873877,-1.39423537727915,2.73743809672465,-2.91399904745754,-1.57079633166007,0.693511966577607
1.01,-0.877284358036599,-1.39866319609372,2.73601469545812,-2.90814782719961,-1.57079633156974,0.693511967567443
1.02,-0.877284357369385,-1.40348940535428,2.73450816458698,-2.90181508690257,-1.5707963314517,0.693511968496008
1.03,-0.877284356731798,-1.40863473709911,2.73293594139843,-2.89509753181348,-1.57079633131094,0.693511969372936
1.04,-0.877284356116307,-1.41400661455896,2.73131766995977,-2.88810738276635,-1.57079633115373,0.693511970211533
1.05,-0.877284355513017,-1.41949846553804,2.72967528743133,-2.88097314911407,-1.57079633098764,0.693511971029047
1.06,-0.877284354910337,-1.42508626562227,2.72800889466197,-2.87371895611648,-1.57079633081695,0.693511971843944
1.07,-0.87728435429891,-1.43109780817672,2.72623052643911,-2.86592904519548,-1.57079633062907,0.693511972665118
1.08,-0.877284353671725,-1.43788480204488,2.72424734047698,-2.85715886522215,-1.5707963304097,0.693511973497402
1.09,-0.877284353023557,-1.44572481299264,2.72198618513146,-2.84705769878686,-1.57079633014752,0.693511974344152
1.1,-0.877284352350834,-1.45482614667503,2.71939229930466,-2.83536247913705,-1.570796329834,0.693511975207357
1.11,-0.877284351651518,-1.46533273160295,2.71642801234943,-2.82189160711507,-1.5707963294632,0.693511976087747
1.12,-0.877284350924974,-1.47732900210992,2.71307144397392,-2.80653876809596,-1.57079632903155,0.69351197698491
1.13,-0.877284350171847,-1.49084478131881,2.70931520414618,-2.78926674892527,-1.57079632853771,0.693511977897393
1.14,-0.877284349393934,-1.50586016410857,2.70516509299861,-2.77010125485689,-1.57079632798233,0.693511978822818
1.15,-0.877284348594061,-1.522310400081,2.70063880073261,-2.74912472649082,-1.57079632736785,0.69351197975799
1.16,-0.877284347775954,-1.54009077652741,2.69576460752306,-2.72647015671102,-1.57079632669835,0.693511980699006
1.17,-0.877284346944116,-1.55906150139546,2.69058008342291,-2.70231490762317,-1.57079632597932,0.693511981641367
1.18,-0.877284346103698,-1.57905258625581,2.6851307882677,-2.67687452749252,-1.57079632521745,0.693511982580087
1.19,-0.877284345260377,-1.59986872926889,2.67946897158013,-2.65039656768168,-1.57079632442049,0.693511983509803
1.2,-0.877284344420226,-1.62129419815165,2.67365227247459,-2.62315439958845,-1.57079632359701,0.693511984424885
1.21,-0.877284343589592,-1.64309771314428,2.66774241956174,-2.5954410315836,-1.57079632275619,0.693511985319545
1.22,-0.877284342774968,-1.66503732997695,2.66180393085304,-2.56756292594868,-1.57079632190769,0.693511986187948
1.23,-0.877284341982867,-1.68686532283652,2.65590281366528,-2.53983381581386,-1.57079632106139,0.693511987024322
1.24,-0.877284341219697,-1.70833306733333,2.65010526452516,-2.5125685220957,-1.57079632022724,0.693511987823069
1.25,-0.877284340491635,-1.72919592346791,2.64447636907383,-2.486076770435,-1.57079631941503,0.693511988578872
1.26,-0.8772843398045,-1.7492181185977,2.63907880197144,-2.46065700813456,-1.57079631863422,0.693511989286808
1.27,-0.877284339163629,-1.76817763040381,2.63397152680167,-2.43659022109703,-1.57079631789372,0.693511989942455
1.28,-0.877284338573751,-1.78587106985773,2.62920849597633,-2.41413375076271,-1.57079631720173,0.693511990542006
1.29,-0.877284338038859,-1.80211856418812,2.62483735063983,-2.39351511104734,-1.57079631656551,0.693511991082375
1.3,-0.877284337562086,-1.81676863984748,2.62089812057382,-2.37492580527993,-1.57079631599121,0.693511991561308
1.31,-0.877284337145579,-1.82970310547893,2.61742192410165,-2.35851514314054,-1.57079631548365,0.693511991977495
1.32,-0.877284336790373,-1.84084193488294,2.61442966799301,-2.34438405759815,-1.57079631504615,0.693511992330679
1.33,-0.877284336496264,-1.85014814998404,2.61193074736838,-2.33257892184838,-1.57079631468033,0.693511992621762
1.34,-0.877284336261687,-1.8576327037976,2.60992174560368,-2.32308536625138,-1.57079631438589,0.693511992852923
1.35,-0.877284336083582,-1.86335936339653,2.60838513423474,-2.3158220952696,-1.57079631416045,0.693511993027719
1.36,-0.87728433595728,-1.86744959287803,2.60728797286189,-2.31063470440558,-1.57079631399933,0.693511993151204
1.37,-0.877284335876366,-1.87008743633034,2.60658060905451,-2.30728949713982,-1.57079631389535,0.69351199323003
1.38,-0.877284335832558,-1.87152440079944,2.60619537825554,-2.30546730186852,-1.57079631383868,0.693511993272564
1.39,-0.877284335815584,-1.87208433925584,2.60604530368609,-2.30475728884144,-1.57079631381659,0.693511993288994
1.4,-0.87728433581305,-1.87216833356126,2.60602279624993,-2.30465078709968,-1.57079631381327,0.69351199329144
