t,q1,q2,q3,q4,q5,q6
0.36,-0.62259739926168,-1.75309023917004,2.52941084009298,-2.34711692716979,-1.57079632602761,0.948198913584837
0.37,-0.622597399205911,-1.75270730792452,2.52952745944332,-2.34761647780312,-1.57079632597197,0.948198913678363
0.38,-0.622597399062934,-1.75172358129221,2.5298269491553,-2.34889969424338,-1.57079632582957,0.94819891391815
0.39,-0.622597398800761,-1.74991570317781,2.53037714901558,-2.35125777239379,-1.57079632556893,0.948198914357869
0.4,-0.622597398394722,-1.74710896990451,2.5312310022821,-2.35491835920539,-1.57079632516611,0.948198915038921
0.41,-0.622597397826972,-1.74317408213152,2.53242755370531,-2.36004979878102,-1.57079632460411,0.948198915991276
0.42,-0.622597397085991,-1.73802389677172,2.53399294754945,-2.36676537847929,-1.57079632387241,0.948198917234305
0.43,-0.62259739616608,-1.73161017890923,2.53594142561371,-2.37512757501859,-1.57079632296645,0.948198918777621
0.44,-0.622597395066867,-1.72392035371704,2.53827632525355,-2.38515230058106,-1.57079632188707,0.948198920621911
0.45,-0.622597393792805,-1.71497425837454,2.54099107740185,-2.39681314891658,-1.57079632064002,0.948198922759774
0.46,-0.622597392352675,-1.70482089398517,2.54407020459021,-2.41004564144674,-1.57079631923543,0.948198925176555
0.47,-0.622597390759083,-1.693535177494,2.54749031897014,-2.42475147336884,-1.57079631768729,0.948198927851187
0.48,-0.622597389027964,-1.68121469360532,2.5512211203343,-2.44080275975988,-1.57079631601295,0.948198930757019
0.49,-0.622597387178082,-1.66797644670024,2.55522639413778,-2.45804628168052,-1.57079631423257,0.948198933862657
0.5,-0.622597385230532,-1.65395361275427,2.55946500951926,-2.47630773227908,-1.5707963123686,0.948198937132801
0.51,-0.622597383208236,-1.63929229125495,2.56389191732229,-2.49539596289552,-1.5707963104453,0.948198940529077
0.52,-0.62259738113545,-1.62414825711939,2.56845914811652,-2.51510722916545,-1.57079630848817,0.948198944010877
0.53,-0.62259737903726,-1.60868371261194,2.57311681021891,-2.53522943712405,-1.57079630652346,0.948198947536192
0.54,-0.622597376939086,-1.59306403926171,2.577814087715,-2.55554638931012,-1.57079630457766,0.948198951062451
0.55,-0.622597374866181,-1.57745454978021,2.58250023848011,-2.57584203087005,-1.57079630267694,0.948198954547354
0.56,-0.622597372843133,-1.56201723997892,2.58712559220059,-2.59590469566177,-1.57079630084665,0.948198957949711
0.57,-0.622597370893362,-1.54690754068693,2.59164254839505,-2.61553135235878,-1.57079629911083,0.948198961230278
0.58,-0.622597369038626,-1.53227106966846,2.59600657443559,-2.63453185055409,-1.57079629749164,0.948198964352589
0.59,-0.62259736729852,-1.51824038354054,2.60017720356905,-2.65273316686425,-1.57079629600887,0.948198967283798
0.6,-0.622597365689975,-1.50493172969052,2.60411903293821,-2.6699836510333,-1.57079629467942,0.94819896999551
0.61,-0.622597364226759,-1.49244179819375,2.60780272160307,-2.68615727203675,-1.57079629351675,0.948198972464621
0.62,-0.622597362918982,-1.4808444737311,2.61120598856202,-2.70115786418562,-1.57079629253042,0.948198974674152
0.63,-0.62259736177259,-1.47018758750661,2.61431461077315,-2.71492337323034,-1.5707962917255,0.948198976614085
0.64,-0.622597360788872,-1.46048966916504,2.61712342117543,-2.72743010246482,-1.5707962911021,0.948198978282199
0.65,-0.622597359963955,-1.45173669870951,2.61963730670994,-2.73869695883035,-1.57079629065484,0.948198979684908
0.66,-0.622597359288311,-1.44387885841907,2.62187220634114,-2.74878969901966,-1.57079629037229,0.948198980838097
0.67,-0.622597358746253,-1.43682728476628,2.6238561090781,-2.75782517558087,-1.57079629023652,0.948198981767953
0.68,-0.622597358315437,-1.43045082033485,2.62563005199567,-2.76597558302146,-1.57079629022253,0.948198982511809
0.69,-0.622597357966363,-1.42457276573717,2.62724911825581,-2.77347270391227,-1.57079629029775,0.948198983118974
0.7,-0.622597357661877,-1.41896763153199,2.62878343512875,-2.7806121549915,-1.57079629042149,0.948198983651572
