t_s,force_normal_N,force_filtered_N,force_measured_N,force_desired_N,penetration_mm,ee_z_m,cmd_z_m,ee_z_velocity_mps,closing_velocity_mps,phase
0.078,0,0.0245184331538508,0,14.5,0,0.145082591826852,0.134161487603306,-0.165343516932106,0.165343516932106,approach
0.079,0,0.0210157998461578,0,14.5,0,0.144914095183289,0.133817241735537,-0.168471535602342,0.168471535602342,approach
0.08,0,0.0358812465513809,0.125073926782719,14.5,0,0.144742473894888,0.133471074380165,-0.171595308911861,0.171595308911861,approach
0.081,0,0.0410517666917131,0.0720748875337063,14.5,0,0.144567733201488,0.133123047520661,-0.174713832003603,0.174713832003603,approach
0.082,0,0.0351872285928969,0,14.5,0,0.144389879339088,0.132773223140496,-0.177826109283861,0.177826109283861,approach
0.083,0,0.0301604816510545,0,14.5,0,0.144208919530439,0.132421663223141,-0.180931154584616,0.180931154584616,approach
0.084,0,0.035041948991997,0.0643307530376518,14.5,0,0.144024861975473,0.132068429752066,-0.184027991320356,0.184027991320356,approach
0.085,0,0.0383649079117961,0.0583026614305911,14.5,0,0.143837715841594,0.131713584710744,-0.187115652639338,0.187115652639338,approach
0.086,0,0.0328842067815395,0,14.5,0,0.143647491253809,0.131357190082645,-0.19019318156926,0.19019318156926,approach
0.087,0,0.031378012236556,0.022340844966655,14.5,0,0.143454199284726,0.13099930785124,-0.193259631157321,0.193259631157321,approach
0.088,0,0.0390371028613235,0.0849916466099281,14.5,0,0.143257851944415,0.13064,-0.196314064604638,0.196314064604638,approach
0.089,0,0.0343597438073677,0.00629558948363283,14.5,0,0.143058462170138,0.130279328512397,-0.199355555395004,0.199355555395004,approach
0.09,0,0.0294512089777437,0,14.5,0,0.142856043815959,0.129917355371901,-0.202383187417949,0.202383187417949,approach
0.091,0,0.0252438934094946,0,14.5,0,0.142650611642233,0.129554142561983,-0.205396055086106,0.205396055086106,approach
0.092,0,0.021637622922424,0,14.5,0,0.142442181304982,0.129189752066116,-0.208393263446863,0.208393263446863,approach
0.093,0,0.0255395117751795,0.048950844891713,14.5,0,0.142230769345169,0.128824245867769,-0.211373928288272,0.211373928288272,approach
0.094,0,0.021891010093011,0,14.5,0,0.142016393177864,0.128457685950413,-0.214337176239231,0.214337176239231,approach
0.095,0,0.0187637229368666,0,14.5,0,0.141799071081321,0.128090134297521,-0.21728214486391,0.21728214486391,approach
0.096,0,0.0160831910887428,0,14.5,0,0.141578822185965,0.127721652892562,-0.220207982750434,0.220207982750434,approach
0.097,0,0.0137855923617795,0,14.5,0,0.14135566646329,0.127352303719008,-0.22311384959381,0.22311384959381,approach
0.098,0,0.0118162220243825,0,14.5,0,0.141129624714685,0.126982148760331,-0.225998916273103,0.225998916273103,approach
0.099,0,0.0101281903066135,0,14.5,0,0.140900718560188,0.12661125,-0.228862364922871,0.228862364922871,approach
0.1,0,0.00911881104755457,0.00306253549320077,14.5,0,0.140668970427164,0.126239669421488,-0.23170338899886,0.23170338899886,approach
0.101,0,0.00995300956738534,0.0149582006863699,14.5,0,0.140434403538939,0.125867469008264,-0.234521193337963,0.234521193337963,approach
0.102,0,0.00853115105775886,0,14.5,0,0.140197041903363,0.125494710743802,-0.237314994212478,0.237314994212478,approach
0.103,0,0.00731241519236474,0,14.5,0,0.139956910301329,0.12512145661157,-0.240084019378649,0.240084019378649,approach
0.104,0,0.00626778445059835,0,14.5,0,0.139714034275257,0.124747768595041,-0.242827508119532,0.242827508119532,approach
0.105,0,0.0069084282050088,0.0107522907314715,14.5,0,0.139468440117526,0.124373708677686,-0.2455447112822,0.2455447112822,approach
0.106,0,0.00925737785686032,0.0233510757679694,14.5,0,0.139220154858881,0.123999338842975,-0.248234891309302,0.248234891309302,approach
0.107,0,0.0296322465506655,0.151881458713497,14.5,0,0.138969206256816,0.12362472107438,-0.250897322265017,0.250897322265017,approach
0.108,0,0.025399068471999,0,14.5,0,0.138715622783929,0.123249917355372,-0.253531289855411,0.253531289855411,approach
0.109,0,0.0277521889544126,0.0418709118488943,14.5,0,0.138459433616267,0.122874989669422,-0.256136091443254,0.256136091443254,approach
0.11,0,0.0304222224772718,0.0464424236144266,14.5,0,0.138200668621656,0.1225,-0.258711036057305,0.258711036057305,approach
0.111,0,0.0260761906948044,0,14.5,0,0.137939358348033,0.122125010330579,-0.261255444396117,0.261255444396117,approach
0.112,0,0.0304299191395561,0.0565522898080663,14.5,0,0.137675534011772,0.121750082644628,-0.263768648826395,0.263768648826395,approach
0.113,0,0.0327789905349134,0.0468734189070574,14.5,0,0.13740922748602,0.12137527892562,-0.266249993375953,0.266249993375953,approach
0.114,0,0.0296289355032683,0.0107286053133977,14.5,0,0.137140471289046,0.121000661157025,-0.268698833721299,0.268698833721299,approach
0.115,0,0.0390718367069449,0.0957292439290048,14.5,0,0.136869298572602,0.120626291322314,-0.271114537169915,0.271114537169915,approach
0.116,0,0.0334901457488099,0,14.5,0,0.136595743110311,0.120252231404959,-0.273496482637264,0.273496482637264,approach
0.117,0,0.0287058392132657,0,14.5,0,0.13631983928608,0.11987854338843,-0.275844060618579,0.275844060618579,approach
0.118,0,0.024605005039942,0,14.5,0,0.136041622082547,0.119505289256198,-0.278156673155491,0.278156673155491,approach
0.119,0,0.0210900043199503,0,14.5,0,0.135761127069564,0.119132530991736,-0.280433733797543,0.280433733797543,approach
0.12,0,0.0292417005808305,0.0781518781461117,14.5,0,0.135478390392725,0.118760330578512,-0.282674667558656,0.282674667558656,approach
0.121,0,0.025064314783569,0,14.5,0,0.135193448761939,0.11838875,-0.284878910868598,0.284878910868598,approach
