t,force,peak_force,contact_count,success,hammer_x,hammer_y,hammer_z
0.275,0,0.0,0,0.0,0.3295877814724588,-0.08395237357130439,0.17241309056865026
0.28,0,0.0,0,0.0,0.32557143845334563,-0.08423635600509426,0.17163343930494854
0.28500000000000003,0,0.0,0,0.0,0.3221088764928786,-0.08443518749684302,0.17093795103830192
0.29,0,0.0,0,0.0,0.31888140279809574,-0.08458286966523215,0.17027041115282981
0.295,0,0.0,0,0.0,0.3161919541074266,-0.08468103463247832,0.16969765071418708
0.3,0,0.0,0,0.0,0.3137246944328111,-0.08474754696244821,0.16916084697123465
0.305,0,0.0,0,0.0,0.31175392250018186,-0.08478647752970632,0.16872374047845026
0.31,0,0.0,0,0.0,0.3099865074330039,-0.08480755975475779,0.16832648956439472
0.315,0,0.0,0,0.0,0.3086666591645586,-0.08482220529569515,0.16802304340844296
0.32,0,0.0,0,0.0,0.30751814607792644,-0.08482276175843582,0.16775921118251635
0.325,0,0.0,0,0.0,0.3067392685253821,-0.08482384288698248,0.16757781635406782
0.33,0,0.0,0,0.0,0.30610892328512085,-0.08482200431691174,0.16743047799504956
0.335,0,0.0,0,0.0,0.30575295808572384,-0.08482504525836493,0.16734523528429945
0.34,0,0.0,0,0.0,0.30548858766323644,-0.08481527767521688,0.16728600669247917
0.34500000000000003,0,0.0,0,0.0,0.30538854981976593,-0.08481722508273244,0.16726172840671008
0.35000000000000003,0,0.0,0,0.0,0.3053434108492084,-0.08481581161148352,0.16725146388296236
0.355,0,0.0,0,0.0,0.30532953671958113,-0.08481475884194746,0.1672428880138825
0.36,0,0.0,0,0.0,0.3053326530490497,-0.0848177808995574,0.16723467566384292
0.365,0,0.0,0,0.0,0.3053374275388977,-0.0848212648065042,0.16719491145934137
0.37,0,0.0,0,0.0,0.30534412164430086,-0.08482602976950764,0.1671414679172939
0.375,0,0.0,0,0.0,0.3053638743242449,-0.08484007378146283,0.16702852037240937
0.38,0,0.0,0,0.0,0.30538533568483245,-0.08485538138921057,0.16689012786343033
0.385,0,0.0,0,0.0,0.30542129506716986,-0.0848811251856008,0.16666922415331495
0.39,0,0.0,0,0.0,0.3054665617589245,-0.08491328062271274,0.1664136205771299
0.395,0,0.0,0,0.0,0.3055246470700904,-0.0849548696018564,0.16605749594277538
0.4,0,0.0,0,0.0,0.30558916009947806,-0.0850010361765269,0.16565922988946322
0.405,0,0.0,0,0.0,0.30567142176733975,-0.0850599661113676,0.16514727162037265
0.41000000000000003,0,0.0,0,0.0,0.30575923249918324,-0.08512299202043566,0.16458783354298118
0.41500000000000004,0,0.0,0,0.0,0.3058666286615401,-0.08519988145607682,0.16390595444423972
0.42,0,0.0,0,0.0,0.30597483754734744,-0.08527789858053925,0.1631730525973147
0.425,0,0.0,0,0.0,0.3061053963875661,-0.08537147289278038,0.16231294456812792
0.43,0,0.0,0,0.0,0.30624048273409227,-0.08546832127066975,0.16140006228660655
0.435,0,0.0,0,0.0,0.30639221287454954,-0.08557699419275364,0.16035906147881282
0.44,0,0.0,0,0.0,0.30654604589101014,-0.08568723523958355,0.1592651234663886
0.445,0,0.0,0,0.0,0.3067131286327477,-0.08580692698899686,0.15804529570341697
0.45,0,0.0,0,0.0,0.30687609067048,-0.08592428279018764,0.1567740468548025
0.455,0,0.0,0,0.0,0.3070542040955233,-0.08605179701467822,0.15538255383309266
0.46,0,0.0,0,0.0,0.3072267927807075,-0.08617580264921314,0.15394213452608638
0.465,0,0.0,0,0.0,0.3074084333943218,-0.0863058323751577,0.1523898393517022
0.47000000000000003,0,0.0,0,0.0,0.30758113124186515,-0.0864300675387735,0.1507924500421579
0.47500000000000003,0,0.0,0,0.0,0.3077597101806315,-0.0865578071654484,0.14909392785410946
0.48,0,0.0,0,0.0,0.3079288022920083,-0.0866790631897112,0.14735529807546147
0.485,0,0.0,0,0.0,0.30809548867622755,-0.08679842593275122,0.14552819178222054
0.49,0,0.0,0,0.0,0.3082479443035333,-0.08690834444612193,0.14366673235538677
0.495,0,0.0,0,0.0,0.3083995121168932,-0.08701652116681635,0.14173117545399017
0.5,0,0.0,0,0.0,0.3085363793290826,-0.0871145414918319,0.13976792366301624
0.505,0,0.0,0,0.0,0.3086634730655427,-0.08720533339993956,0.13774610333826812
0.51,0,0.0,0,0.0,0.3087704524772059,-0.0872827889914862,0.13570353836741372
0.515,0,0.0,0,0.0,0.3088693324170279,-0.0873533651158973,0.13361895935395213
0.52,0,0.0,0,0.0,0.3089522920111743,-0.08741253003153746,0.13152096814388511
0.525,0,0.0,0,0.0,0.3090187883159589,-0.08745998609175111,0.12939787779606238
0.53,0,0.0,0,0.0,0.30906836478321864,-0.08749524441594846,0.12726875660096143
0.535,0,0.0,0,0.0,0.30910070269296636,-0.08751825410600893,0.1251315453193343
0.54,0,0.0,0,0.0,0.30911544292084137,-0.08752863981070212,0.1229956980716893
0.545,0,0.0,0,0.0,0.30911315672113343,-0.08752680174582093,0.12086840016148898
0.55,0,0.0,0,0.0,0.30909349166846956,-0.0875125019988359,0.11874956337336297
0.555,0,0.0,0,0.0,0.3090574901661758,-0.08748649060722068,0.11665518875240069
0.56,0,0.0,0,0.0,0.3090018817621714,-0.08744710535910571,0.11457598867239621
0.5650000000000001,0,0.0,0,0.0,0.30893950877132276,-0.08740094514353546,0.11253614008966438
0.5700000000000001,0,0.0,0,0.0,0.30885272703807304,-0.08733949273930768,0.11051760516263023
0.5750000000000001,0,0.0,0,0.0,0.30876205458967954,-0.08727308465217788,0.10855188931892734
0.58,0,0.0,0,0.0,0.30865202685112764,-0.0871942808697872,0.1066129536951801
0.585,0,0.0,0,0.0,0.3085315155253031,-0.0871080624362323,0.10473863870184283
0.59,0,0.0,0,0.0,0.3084052892988452,-0.0870162733776995,0.10289576484858909
0.595,0,0.0,0,0.0,0.3082670754325349,-0.08691730244656741,0.10112747148222011
0.6,0,0.0,0,0.0,0.3081190355615849,-0.08681138851949995,0.09939435550861046
0.605,0,0.0,0,0.0,0.3079736309347473,-0.08670577928354645,0.09774364287973383
0.61,0,0.0,0,0.0,0.30781578043565133,-0.08659277044292031,0.09613089765622547
0.615,0,0.0,0,0.0,0.30765740955108106,-0.08647946478513127,0.09460606618132684
0.62,0,0.0,0,0.0,0.30750038134719715,-0.08636547328219947,0.09312101913641764
0.625,0,0.0,0,0.0,0.30734075441848213,-0.08625118915711003,0.0917268546068664
0.63,0,0.0,0,0.0,0.30717804469457183,-0.08613482835465815,0.09037324485210314
0.635,0,0.0,0,0.0,0.30702699497866126,-0.08602503364041597,0.08911086806477517
0.64,0,0.0,0,0.0,0.3068694817168043,-0.08591231047013684,0.0878886345702494
0.645,0,0.0,0,0.0,0.3067189715637648,-0.08580472392647372,0.08675513052370945
0.65,0,0.0,0,0.0,0.3065752449555777,-0.0857001358763698,0.08566030593980797
0.655,0,0.0,0,0.0,0.3064344117680097,-0.08559939675840597,0.08464858888622137
0.66,0,0.0,0,0.0,0.30629473256694256,-0.08549964285878205,0.08367287019411876
0.665,0,0.0,0,0.0,0.30617000835097824,-0.08540858926916065,0.08277148075332964
0.67,0,0.0,0,0.0,0.3060416654904024,-0.08531686789169902,0.081902048632856
0.675,263.17576481846646,270.3880163866041,1,1.0,0.305925543103766,-0.08523741035523366,0.08109477395201534
0.68,268.6734590968685,270.3880163866041,1,1.0,0.3058092725975955,-0.08515664173690034,0.08031402677068236
0.685,257.8574330632752,270.3880163866041,1,1.0,0.3056983480134352,-0.08507897600190566,0.07957941822865072
0.6900000000000001,261.8502009008372,270.3880163866041,1,1.0,0.30558876422979386,-0.08500163927634753,0.0788646013755295
0.6950000000000001,257.1236982035,270.3880163866041,1,1.0,0.3054819820125751,-0.0849259325029889,0.07817601362827142
0.7000000000000001,260.32635653858193,270.3880163866041,1,1.0,0.3053756449728617,-0.08485017855067215,0.0774989734730332
0.705,262.08755862336506,270.3880163866041,1,1.0,0.30526861419822876,-0.08477375547117612,0.07682817174545893
0.71,264.7373144658725,270.3880163866041,1,1.0,0.30516023972723044,-0.08469615347168843,0.07616063803984201
0.715,266.819168967835,270.3880163866041,1,1.0,0.30505096835353446,-0.08461781000960833,0.07549495526898917
0.72,268.7193860757534,270.3880163866041,1,1.0,0.30494050654185634,-0.08453856240148361,0.07483089600400986
